"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"plasmenyl-PC 40_5",3786.05885392857,3149.46716821429,2946.67659517857,6551.378575,8816.23721785714,9978.52117321429,6551.378575,1565.000575
"PE 40_6",131122.470535714,124379.788517857,120659.397669643,134815.647321429,79935.5262642857,139107.900982143,127822.838035714,105862.877928571
"PE 36_3",102952.236285714,109260.486,93647.1940357143,111762.082482143,139107.900982143,157279.283625,167816.821428571,180820.683571429
"PE 36_1",10487.4956032143,3688.59157071429,18943.2163214286,33258.4630142857,34054.3606964286,52724.8140535714,48079.1544821429,20605.481
"PE 38_3",98095.1422857143,91582.2723821429,89692.7647232143,82903.4760714286,46974.5335535714,72376.8640464286,60719.3389107143,102952.236285714
"PE 38_7",21607.3120732143,38131.7161321429,35910.3636071429,20605.481,7497.03831660714,14739.9143785714,8512.3501875,28417.0586892857
"PE 40_5",22417.2371946429,21607.3120732143,28788.7575339286,28012.4682160714,19427.3070232143,20362.7371928571,19857.4815,28012.4682160714
"PE 34_3",4543.34497678571,6661.72394821428,7050.54476,5270.37840482143,7839.17797125,11700.2718053571,11555.0169464286,12525.6698714286
"PE 38_4",11700.2718053571,8961.33935714286,11555.0169464286,17724.6697839286,11020.5853321429,17206.6745767857,16567.6682892857,15874.1222107143
"PE 32_0",3688.59157071429,4415.97215875,1772.08722303571,2072.90318839286,2072.90318839286,1410.84707142857,1932.36239017857,1410.84707142857
"PE 34_1",17206.6745767857,13414.3489392857,9772.53663392857,8372.5780875,16769.8830410714,13599.2526607143,24489.6108803571,18178.1888875
"PE 36_0",7347.25012964286,6078.22740089286,3579.30554910714,4314.71070089286,2388.13856553571,8512.3501875,2946.67659517857,4415.97215875
"plasmenyl-PE 40_6",305691.987410714,366483.281767857,305691.987410714,346000.597321429,305691.987410714,254837.76625,275623.213214286,366483.281767857
"plasmenyl-PE 42_5",86236.0747321428,73784.2439285714,72376.8640464286,59633.1933982143,95782.8210714286,69792.1983392857,65292.6203571429,89692.7647232143
"plasmenyl-PE 38_1",40242.4034642857,29956.5594839286,28417.0586892857,45078.8297857143,56709.7669107143,37552.3767678571,49582.7215642857,65292.6203571429
"plasmenyl-PE 38_5",187605.219642857,244054.326071429,100624.498053571,202271.0279625,263434.931428571,202271.0279625,218579.666142857,209614.510892857
"plasmenyl-PE 36_3",46409.6795535714,41996.9177589286,25505.1708607143,45819.6608571429,52724.8140535714,40865.2268607143,51035.1771285714,50324.3570714286
"plasmenyl-PE 36_1",93647.1940357143,98095.1422857143,54177.6545053571,69792.1983392857,89692.7647232143,98095.1422857143,114352.266696429,152912.219
"plasmenyl-PE 38_6",466853.517017857,453906.612607143,389615.907053571,424657.462660714,389615.907053571,412194.21525,412194.21525,519282.5495
"plasmenyl-PE 36_2",31635.0711428571,32236.8801964286,31204.8584232143,43779.5852857143,50324.3570714286,46974.5335535714,48807.5821428571,71082.6420714286
"plasmenyl-PE 38_4",175201.353928571,187605.219642857,167816.821428571,180820.683571429,175201.353928571,162160.035892857,225561.56,263434.931428571
"plasmenyl-PE 34_1",20362.7371928571,19652.5736517857,17206.6745767857,16998.0356178571,26892.403625,19857.4815,15874.1222107143,26892.403625
"plasmenyl-PE 34_2",18418.6395375,19149.8252196429,13797.1867678571,25505.1708607143,51035.1771285714,41435.4854071429,59633.1933982143,43244.4308214286
"plasmenyl-PE 40_1",4665.46998178571,5520.08360160714,2726.94451017857,4855.38819928571,6180.84948053571,6078.22740089286,5167.27360178571,7990.22304464286
"SM 34_2",114352.266696429,127822.838035714,127822.838035714,147937.73625,120659.397669643,105862.877928571,152912.219,157279.283625
"SM 40_2",36431.7635982143,48079.1544821429,38131.7161321429,54177.6545053571,45078.8297857143,49582.7215642857,47519.2642660714,37552.3767678571
"SM 42_1",180820.683571429,209614.510892857,147937.73625,157279.283625,143503.426964286,131122.470535714,139107.900982143,120659.397669643
"SM 40_1",120659.397669643,117295.894107143,105862.877928571,162160.035892857,180820.683571429,218579.666142857,147937.73625,111762.082482143
"SM 42_5",109260.486,152912.219,175201.353928571,102952.236285714,31635.0711428571,36431.7635982143,26892.403625,61688.1022857143
"SM 32_2",11919.7666446429,9162.38664107143,13599.2526607143,19652.5736517857,15453.0258392857,5398.0321,12103.1438910714,11700.2718053571
"SM 36_1",9162.38664107143,11201.2329928571,10487.4956032143,23579.0024642857,14739.9143785714,11919.7666446429,13253.6211178571,8961.33935714286
"SM 36_0",77117.3579964286,95782.8210714286,79935.5262642857,105862.877928571,60719.3389107143,43779.5852857143,50324.3570714286,69792.1983392857
"SM 34_0",424657.462660714,630128.590982143,466853.517017857,630128.590982143,537086.656732143,402282.127178571,366483.281767857,453906.612607143
"SM 38_0",81470.3392857143,93647.1940357143,91582.2723821429,98095.1422857143,33258.4630142857,33679.5103964286,33258.4630142857,45819.6608571429
"SM 32_1",16072.8131107143,18639.4317696429,20362.7371928571,28788.7575339286,12888.5737714286,9772.53663392857,8961.33935714286,13253.6211178571
"SM 40_4",19652.5736517857,32711.4972857143,29956.5594839286,28417.0586892857,9632.68153035714,13955.8465,16769.8830410714,19652.5736517857
"SM 32_0",7990.22304464286,11555.0169464286,8648.21050196429,13797.1867678571,10837.8805821429,6922.36611035714,5844.98421946429,7497.03831660714
"SM 36_2",1140505.35982143,2172575.53660714,1768669.68571429,2502717.17142857,1140505.35982143,1060267.31625,881327.144642857,1455147.53910714
"SM 30_1",4855.38819928571,3260.58485017857,6922.36611035714,3260.58485017857,2726.94451017857,4543.34497678571,1565.000575,2726.94451017857
"TG 54_4",2502717.17142857,999381.5375,1140505.35982143,1140505.35982143,1455147.53910714,1565259.17232143,1961062.5375,1344523.83910714
"TG 52_3",484745.8935,484745.8935,537086.656732143,656382.538178571,557535.656428571,999381.5375,935039.595,740974.119267857
"TG 52_4",254837.76625,263434.931428571,218579.666142857,315138.221821429,244054.326071429,466853.517017857,580827.072089286,356514.397125
"TG 54_3",1768669.68571429,881327.144642857,999381.5375,935039.595,829835.944821429,1140505.35982143,1344523.83910714,881327.144642857
"TG 58_11",195603.946214286,111762.082482143,225561.56,195603.946214286,157279.283625,147937.73625,95782.8210714286,175201.353928571
"TG 56_5",244054.326071429,275623.213214286,315138.221821429,296685.858607143,376836.891214286,424657.462660714,336896.543375,275623.213214286
"TG 56_4",162160.035892857,102952.236285714,139107.900982143,124379.788517857,225561.56,175201.353928571,195603.946214286,143503.426964286
"TG 58_9",202271.0279625,180820.683571429,187605.219642857,143503.426964286,147937.73625,143503.426964286,105862.877928571,131122.470535714
"TG 50_2",630128.590982143,336896.543375,519282.5495,356514.397125,336896.543375,630128.590982143,691980.601357143,630128.590982143
"TG 50_1",366483.281767857,157279.283625,275623.213214286,305691.987410714,202271.0279625,336896.543375,356514.397125,244054.326071429
"TG 58_7",127822.838035714,120659.397669643,143503.426964286,127822.838035714,195603.946214286,152912.219,134815.647321429,162160.035892857
"TG 54_5",1238585.74196429,935039.595,1238585.74196429,1060267.31625,1238585.74196429,1768669.68571429,1768669.68571429,1565259.17232143
"TG 54_7",234177.565178571,175201.353928571,296685.858607143,234177.565178571,254837.76625,346000.597321429,296685.858607143,336896.543375
"TG 58_6",73784.2439285714,86236.0747321428,84414.4910535714,73784.2439285714,117295.894107143,120659.397669643,81470.3392857143,84414.4910535714
"TG 56_3",61688.1022857143,49582.7215642857,61688.1022857143,42558.8972821429,82903.4760714286,63853.8299321429,72376.8640464286,63853.8299321429
"TG 50_5",19149.8252196429,21075.5921428571,29205.3635535714,12299.3981696429,16567.6682892857,23315.2417571429,52724.8140535714,31635.0711428571
"TG 50_3",346000.597321429,195603.946214286,336896.543375,218579.666142857,187605.219642857,275623.213214286,453906.612607143,466853.517017857
"TG 52_2",3653398.16071429,1768669.68571429,3206715.1125,1961062.5375,2172575.53660714,3653398.16071429,4212536.26607143,3206715.1125
"TG 56_9",209614.510892857,225561.56,209614.510892857,225561.56,209614.510892857,209614.510892857,180820.683571429,234177.565178571
"TG 56_2",55074.1213928571,26892.403625,43779.5852857143,40242.4034642857,66389.0885178571,55074.1213928571,61688.1022857143,51795.0621428571
"TG 54_6",157279.283625,134815.647321429,180820.683571429,175201.353928571,162160.035892857,225561.56,285735.851553571,167816.821428571
"TG 56_7",225561.56,285735.851553571,263434.931428571,254837.76625,285735.851553571,263434.931428571,254837.76625,285735.851553571
"TG 54_2",740974.119267857,315138.221821429,453906.612607143,336896.543375,315138.221821429,389615.907053571,424657.462660714,402282.127178571
"TG 56_6",557535.656428571,557535.656428571,740974.119267857,557535.656428571,691980.601357143,656382.538178571,656382.538178571,656382.538178571
"TG 52_1",412194.21525,202271.0279625,424657.462660714,324681.287678571,275623.213214286,484745.8935,438294.818267857,315138.221821429
"TG 58_8",275623.213214286,324681.287678571,356514.397125,275623.213214286,356514.397125,305691.987410714,263434.931428571,296685.858607143
"TG 60_12",296685.858607143,305691.987410714,285735.851553571,263434.931428571,218579.666142857,195603.946214286,102952.236285714,202271.0279625
"TG 48_2",88055.5859285714,54177.6545053571,77117.3579964286,62766.6365035714,77117.3579964286,68793.4987857143,93647.1940357143,81470.3392857143
"TG 58_5",34705.7523928571,25146.6001785714,39590.5449357143,25881.2709928571,57766.9555892857,45078.8297857143,31204.8584232143,35265.7756053571
"TG 58_10",537086.656732143,389615.907053571,630128.590982143,376836.891214286,519282.5495,438294.818267857,305691.987410714,484745.8935
"TG 56_8",580827.072089286,466853.517017857,606468.134892857,580827.072089286,630128.590982143,769351.43425,740974.119267857,769351.43425
"TG 48_3",28012.4682160714,17936.5455178571,40865.2268607143,32236.8801964286,17492.2355,26892.403625,38668.3322857143,26555.1806428571
"TG 48_1",78680.0341964286,51795.0621428571,67612.5251964286,58747.1725892857,61688.1022857143,73784.2439285714,63853.8299321429,78680.0341964286
"TG 60_8",25505.1708607143,23860.7347321429,38668.3322857143,24489.6108803571,51795.0621428571,31204.8584232143,23315.2417571429,33679.5103964286
"TG 52_5",324681.287678571,254837.76625,324681.287678571,285735.851553571,296685.858607143,557535.656428571,769351.43425,580827.072089286
"TG 58_2",7186.05634642857,3047.14357803571,7701.63170017857,4981.35488607143,8251.11858571429,4758.78730589286,9772.53663392857,11201.2329928571
"TG 62_14",84414.4910535714,59633.1933982143,102952.236285714,77117.3579964286,36431.7635982143,37003.3471071429,27253.9484821429,59633.1933982143
"TG 60_9",51035.1771285714,58747.1725892857,73784.2439285714,41435.4854071429,71082.6420714286,46409.6795535714,33679.5103964286,53310.7435107143
"TG 64_16",21849.6822410714,6798.03111785714,21368.9445339286,12103.1438910714,4665.46998178571,7597.96034285714,3786.05885392857,11367.4251125
"TG 50_4",95782.8210714286,35265.7756053571,98095.1422857143,55074.1213928571,73784.2439285714,111762.082482143,175201.353928571,100624.498053571
"TG 60_10",100624.498053571,100624.498053571,162160.035892857,109260.486,131122.470535714,84414.4910535714,55074.1213928571,117295.894107143
"TG 62_13",68793.4987857143,68793.4987857143,68793.4987857143,48807.5821428571,53310.7435107143,32711.4972857143,16331.7739839286,56709.7669107143
"TG 60_7",17492.2355,11020.5853321429,16998.0356178571,14556.9376785714,22417.2371946429,20605.481,15453.0258392857,21368.9445339286
"TG 48_0",30871.5082321429,28012.4682160714,30871.5082321429,53310.7435107143,63853.8299321429,41996.9177589286,45819.6608571429,33258.4630142857
"TG 62_12",25146.6001785714,37003.3471071429,47519.2642660714,21607.3120732143,28012.4682160714,34705.7523928571,14739.9143785714,38131.7161321429
"TG 52_7",14944.7673089286,14556.9376785714,26892.403625,21075.5921428571,16331.7739839286,20815.1330178571,31635.0711428571,27253.9484821429
"TG 50_0",60719.3389107143,31635.0711428571,58747.1725892857,56709.7669107143,88055.5859285714,77117.3579964286,56709.7669107143,55779.1466964286
"TG 52_0",16998.0356178571,11700.2718053571,14739.9143785714,16567.6682892857,32236.8801964286,19427.3070232143,17724.6697839286,17206.6745767857
"TG 54_1",89692.7647232143,24489.6108803571,75241.3308392857,72376.8640464286,84414.4910535714,79935.5262642857,88055.5859285714,72376.8640464286
"TG 60_3",656.591134821429,656.591134821429,1410.84707142857,2181.38010482143,3260.58485017857,984.342505357143,2072.90318839286,3990.92321571429
"TG 54_8",56709.7669107143,57766.9555892857,88055.5859285714,63853.8299321429,45819.6608571429,75241.3308392857,66389.0885178571,82903.4760714286
